DATE,DEXUSEU
2017-05-01,1.0912
2017-05-02,1.0910
2017-05-03,1.0920
2017-05-04,1.0967
2017-05-05,1.0996
2017-05-08,1.0928
2017-05-09,1.0875
2017-05-10,1.0873
2017-05-11,1.0869
2017-05-12,1.0926
2017-05-15,1.0979
2017-05-16,1.1072
2017-05-17,1.1134
2017-05-18,1.1130
2017-05-19,1.1190
2017-05-22,1.1236
2017-05-23,1.1198
2017-05-24,1.1175
2017-05-25,1.1218
2017-05-26,1.1170
2017-05-29,.
2017-05-30,1.1183
2017-05-31,1.1236
2017-06-01,1.1214
2017-06-02,1.1270
2017-06-05,1.1250
2017-06-06,1.1266
2017-06-07,1.1236
2017-06-08,1.1217
2017-06-09,1.1190
2017-06-12,1.1204
2017-06-13,1.1194
2017-06-14,1.1277
2017-06-15,1.1152
2017-06-16,1.1194
2017-06-19,1.1160
2017-06-20,1.1124
2017-06-21,1.1143
2017-06-22,1.1148
2017-06-23,1.1196
2017-06-26,1.1196
2017-06-27,1.1300
2017-06-28,1.1364
2017-06-29,1.1420
2017-06-30,1.1411
2017-07-03,1.1367
2017-07-04,.
2017-07-05,1.1336
2017-07-06,1.1409
2017-07-07,1.1396
2017-07-10,1.1396
2017-07-11,1.1430
2017-07-12,1.1411
2017-07-13,1.1385
2017-07-14,1.1452
2017-07-17,1.1470
2017-07-18,1.1578
2017-07-19,1.1518
2017-07-20,1.1634
2017-07-21,1.1655
2017-07-24,1.1642
2017-07-25,1.1656
2017-07-26,1.1632
2017-07-27,1.1656
2017-07-28,1.1754
2017-07-31,1.1826
2017-08-01,1.1799
2017-08-02,1.1861
2017-08-03,1.1880
2017-08-04,1.1754
2017-08-07,1.1788
2017-08-08,1.1724
2017-08-09,1.1748
2017-08-10,1.1751
2017-08-11,1.1811
2017-08-14,1.1786
2017-08-15,1.1736
2017-08-16,1.1703
2017-08-17,1.1736
2017-08-18,1.1748
2017-08-21,1.1814
2017-08-22,1.1762
2017-08-23,1.1802
2017-08-24,1.1801
2017-08-25,1.1874
2017-08-28,1.1973
2017-08-29,1.2025
2017-08-30,1.1927
2017-08-31,1.1894
2017-09-01,1.1878
2017-09-04,.
2017-09-05,1.1911
2017-09-06,1.1943
2017-09-07,1.2028
2017-09-08,1.2041
2017-09-11,1.1964
2017-09-12,1.1968
2017-09-13,1.1898
2017-09-14,1.1886
2017-09-15,1.1959
2017-09-18,1.1938
2017-09-19,1.1980
2017-09-20,1.1998
2017-09-21,1.1946
2017-09-22,1.1969
2017-09-25,1.1852
2017-09-26,1.1772
2017-09-27,1.1747
2017-09-28,1.1776
2017-09-29,1.1813
2017-10-02,1.1745
2017-10-03,1.1759
2017-10-04,1.1760
2017-10-05,1.1706
2017-10-06,1.1732
2017-10-09,.
2017-10-10,1.1804
2017-10-11,1.1847
2017-10-12,1.1840
2017-10-13,1.1837
2017-10-16,1.1810
2017-10-17,1.1754
2017-10-18,1.1775
2017-10-19,1.1842
2017-10-20,1.1770
2017-10-23,1.1762
2017-10-24,1.1766
2017-10-25,1.1802
2017-10-26,1.1700
2017-10-27,1.1580
2017-10-30,1.1626
2017-10-31,1.1648
2017-11-01,1.1618
2017-11-02,1.1672
2017-11-03,1.1616
2017-11-06,1.1600
2017-11-07,1.1577
2017-11-08,1.1591
2017-11-09,1.1648
2017-11-10,.
2017-11-13,1.1656
2017-11-14,1.1764
2017-11-15,1.1794
2017-11-16,1.1772
2017-11-17,1.1799
2017-11-20,1.1741
2017-11-21,1.1741
2017-11-22,1.1789
2017-11-23,.
2017-11-24,1.1936
2017-11-27,1.1911
2017-11-28,1.1878
2017-11-29,1.1858
2017-11-30,1.1898
2017-12-01,1.1910
2017-12-04,1.1848
2017-12-05,1.1820
2017-12-06,1.1788
2017-12-07,1.1790
2017-12-08,1.1761
2017-12-11,1.1802
2017-12-12,1.1725
2017-12-13,1.1762
2017-12-14,1.1778
2017-12-15,1.1778
2017-12-18,1.1804
2017-12-19,1.1822
2017-12-20,1.1881
2017-12-21,1.1872
2017-12-22,1.1839
2017-12-25,.
2017-12-26,1.1867
2017-12-27,1.1902
2017-12-28,1.1952
2017-12-29,1.2022
2018-01-01,.
2018-01-02,1.2050
2018-01-03,1.2030
2018-01-04,1.2064
2018-01-05,1.2039
2018-01-08,1.1973
2018-01-09,1.1922
2018-01-10,1.1958
2018-01-11,1.2035
2018-01-12,1.2130
2018-01-15,.
2018-01-16,1.2244
2018-01-17,1.2229
2018-01-18,1.2238
2018-01-19,1.2238
2018-01-22,1.2230
2018-01-23,1.2277
2018-01-24,1.2390
2018-01-25,1.2488
2018-01-26,1.2422
2018-01-29,1.2352
2018-01-30,1.2390
2018-01-31,1.2428
2018-02-01,1.2482
2018-02-02,1.2446
2018-02-05,1.2418
2018-02-06,1.2381
2018-02-07,1.2281
2018-02-08,1.2238
2018-02-09,1.2226
2018-02-12,1.2267
2018-02-13,1.2363
2018-02-14,1.2396
2018-02-15,1.2482
2018-02-16,1.2442
2018-02-19,.
2018-02-20,1.2348
2018-02-21,1.2314
2018-02-22,1.2326
2018-02-23,1.2298
2018-02-26,1.2296
2018-02-27,1.2239
2018-02-28,1.2211
2018-03-01,1.2216
2018-03-02,1.2314
2018-03-05,1.233
2018-03-06,1.2415
2018-03-07,1.2397
2018-03-08,1.2314
2018-03-09,1.2326
2018-03-12,1.2318
2018-03-13,1.2398
2018-03-14,1.2362
2018-03-15,1.2321
2018-03-16,1.228
2018-03-19,1.2329
2018-03-20,1.2271
2018-03-21,1.2268
2018-03-22,1.231
2018-03-23,1.236
2018-03-26,1.244
2018-03-27,1.241
2018-03-28,1.2351
2018-03-29,1.2297
2018-03-30,1.232
2018-04-02,1.2288
2018-04-03,1.2261
2018-04-04,1.2292
2018-04-05,1.223
2018-04-06,1.2274
2018-04-09,1.232
2018-04-10,1.2338
2018-04-11,1.2384
2018-04-12,1.232
2018-04-13,1.2322
2018-04-16,1.2373
2018-04-17,1.2345
2018-04-18,1.238
2018-04-19,1.2336
2018-04-20,1.2282
2018-04-23,1.2216
2018-04-24,1.2226
2018-04-25,1.2178
2018-04-26,1.2113
2018-04-27,1.2108
2018-04-30,1.2074
